Player_Names,Matches_Played,Substitution ,Minutes_Played,Goals,Expected_Goals,xG_Per_Match_Avg,Shots,Shots_On_Target,Shots_Per_Match_Avg,Shots_On_Target_Per_Match_Avg,Year,club_id
Gabriel Jesus,26,1,2448,12,11.08,0.43,75,34,2.91,1.32,2016,85
Bruno Rangel ,19,12,2016,10,8.91,0.42,35,17,1.65,0.8,2016,80
Rogerio ,22,9,2051,9,6.69,0.31,81,28,3.75,1.3,2016,90
Vitor Bueno,32,1,2670,10,9.27,0.33,73,30,2.6,1.07,2016,94
Marinho ,27,0,2360,12,7.45,0.3,111,34,4.47,1.37,2016,87
Grafite ,29,2,2511,13,14.01,0.53,64,34,2.42,1.29,2016,88
Andres Chavez,19,2,1786,9,10.53,0.56,67,32,3.56,1.7,2016,91
Cicero Semedo,35,0,3322,9,9.79,0.28,62,27,1.77,0.77,2016,94
Sassa,13,13,1412,12,11.15,0.75,41,25,2.76,1.68,2016,93
Giorgian de Arrascaeta,30,1,2423,9,7.65,0.3,75,24,2.94,0.94,2016,85
Keno ,32,2,3093,10,6.19,0.19,73,25,2.24,0.77,2016,88
Fred ,33,1,2821,14,13.66,0.46,63,28,2.12,0.94,2016,87
Kleber Gladiador,23,1,2143,9,8.35,0.37,50,23,2.22,1.02,2016,93
Pottker ,19,12,2007,14,8.66,0.41,61,25,2.89,1.18,2016,86
Jonathan Copete,22,3,2147,10,8.14,0.36,37,17,1.64,0.75,2016,95
Ricardo Oliveira,20,0,1834,11,8.49,0.44,53,25,2.75,1.29,2016,91
Angel Rodriguez,26,7,2390,13,11.82,0.47,68,31,2.7,1.23,2017,13
Antoine Griezmann,30,2,2596,19,15.58,0.57,72,40,2.63,1.46,2017,2
Iago Aspas,33,1,3053,22,19.92,0.62,94,43,2.92,1.34,2017,5
Gareth Bale,20,6,1872,16,12.81,0.65,77,32,3.91,1.62,2017,4
Rodrigo None,31,6,2770,16,15.45,0.53,92,38,3.16,1.3,2017,8
Luis Suarez,32,1,3008,25,25.65,0.81,121,55,3.82,1.74,2017,3
Sergio Leon,23,8,2071,11,11.12,0.51,65,27,2.98,1.24,2017,14
